,additional_discount,additional_discount_currently_active,additional_discount_per_menu,address,adv_distance,advertisement_rank,advertisement_type,app_order,can_review,categories,central_billing,city,delivery_fee,delivery_fee_explanation,description,dine_in,discount_from,discount_percent,discount_until,distance,except_cash,franchise_id,franchise_name,free_delivery_threshold,has_loyalty_support,has_terminal,id,is_hotdeal,keywords,lat,list_pos,lng,logo_url,loyal_score,min_order_amount,name,new,new_rating,one_dish,open,open_time_description,payment_methods,phone,phone_downlisted,phone_order,premium,rating,reachable,relay_methods,review_avg,review_count,review_image_count,section,section_pos,slug,sms_bonus,subtitle,tags,takeout,threshold,thumbnail_message,top100_restaurant,top28,url
0,7500,True,0,서울 강남구 논현2동 267-3 건설빌딩 201호,,1,contract,True,0,"['프랜차이즈', '피자양식']",False,서울,0,최소 주문 금액 15000원 이상,,False,,0,,1.8794402028335757,False,41.0,한국파파존스(주) / 파파존스,0,True,True,230008,True,파파존스-논현점 <골드링크러스트패밀리（F）> 스파이시치킨랜치골드링크러스트F <씬크러스트패밀리（F）> 핫앤스파이시멕시칸씬크러스트F <사이드> 하와이안롤 <씬크러스트패밀리（F）> 스파이시치킨랜치씬크러스트F <치즈롤크러스트라지（L）> 가든스페셜치즈롤크러스트L <치즈롤크러스트라지（L）> 하와이안치즈롤크러스트L <치즈롤크러스트라지（L）> 스파이시이탈리안치즈롤크러스트L <치즈롤크러스트라지（L）> 페퍼로니치즈롤크러스트L <치즈롤크러스트라지（L）> 마가리타치즈롤크러스트L <치즈롤크러스트라지（L）> 멜로우머쉬룸치즈롤크러스트L,37.5133378999347,1,127.0424036,/media/restaurant_logos/파파존스_20140820_Franchise_crop_200x200_OZL6ECv.jpg,5.05605984877923,15000,파파존스-논현점,False,0.4263543533844541,0,True,11:00 - 22:30,"['creditcard', 'online']",050352588726,False,True,{},200023.791353966,True,"['email', 'box_helicom']",4.38888888888889,18,4,hotdeal,1,파파존스-논현점,False,,[],False,10000,,False,False,
1,0,False,0,서울 강남구 대치동 902 1층 108,,1,contract,True,0,"['야식', '한식', '프랜차이즈']",False,서울,0,최소 주문 금액 25000원 이상,,False,,0,,3.4184811501687613,False,,,0,True,True,233418,False,호세야오리바베큐-선릉점 사이드메뉴 데리야끼소스 사이드메뉴 머스타드소스 바베큐메뉴 통삼겹바베큐大 사이드메뉴 수제소시지 사이드메뉴 사이다500mL 사이드메뉴 양파절임 사이드메뉴 사이다1.25L 사이드메뉴 콜라500mL 사이드메뉴 무쌈 바베큐메뉴 국내산오리장작바베큐大,37.504007,2,127.0571385,/media/restaurant_logos/호세야오리바베큐_20140721_Franchise_crop_200x200_utLtnsV.jpg,61.3378043768318,25000,호세야오리바베큐-선릉점,False,2.4535121750732722,0,True,17:00 - 04:30,"['creditcard', 'online']",050352592655,False,True,{},200081.232804377,True,"['email', 'box_helicom']",4.92574257425743,404,49,contract,1,호세야오리바베큐-선릉점,False,,['excellent'],False,8000,,False,False,
2,0,False,0,서울 강남구 논현동 273-16 2층 201호,,1,contract,True,0,"['한식', '일식돈까스', '분식', '야식', '중식']",False,서울,0,최소 주문 금액 6900원 이상,,False,,0,,1.6783637232218387,False,,,0,True,True,226151,False,땡뽀-논현점 탕수육／볶음요리 낙지볶음 탕수육／볶음요리 오징어볶음 사누끼우동 스페셜사누끼우동 도시락 오뎅탕도시락 튀김메뉴 고구마튀김（3개） 사누끼우동 양지사누끼우동 쫄면／비빔면 땡초비빔우동 사누끼우동 김치사누끼우동 도시락 오뎅김치찌개도시락 탕수육／볶음요리 깐풍육,37.5102922,3,127.0390616,/media/restaurant_logos/땡뽀-논현점_20151013_가맹로고이미지약정서_crop_200x200.jpg,47.8638224734309,6900,땡뽀-논현점,False,2.1788801542928686,0,True,10:30 - 22:30,['online'],050352584785,False,True,{},200061.371349355,True,"['email', 'box_helicom']",4.225,280,47,contract,2,땡뽀-논현점,False,,['excellent'],False,5000,,False,False,
3,0,False,0,서울 강남구 논현동 139-33번지 1층,,1,contract,True,0,['한식'],False,서울,0,최소 주문 금액 12000원 이상,,False,,0,,0.6754843526374901,False,,,0,True,True,112,False,24시바리바리푸드 Chicken（치킨류） 매콤핫치킨 Chicken（치킨류） 파닭치킨 Chicken（치킨류） 치즈스노잉치킨 Chicken（치킨류） 마늘치킨 Chicken（치킨류） 간장치킨 Chicken（치킨류） 깐풍마늘치킨 계절메뉴 메밀비빔면 Chicken（치킨류） 오리지널양념치킨 Risotto（리조또） 참치볶음밥리조또 Food（요리） 짱아찌（210g）,37.5104157,4,127.0250294,/media/restaurant_logos/김치볶음밥02_20131128_FoodAD_crop_200x200.jpg,31.2405935740342,12000,24시 바리바리푸드,False,1.71452687243387,0,True,10:00 - 09:59,"['creditcard', 'online']",050352554655,False,True,{},200048.431650485,True,"['email', 'box_helicom', 'sms_relay']",3.81130690161527,1362,63,contract,3,바리바리푸드,False,,"['CESCO', 'excellent']",False,8000,,False,False,http://www.바리-바리.kr
4,0,False,0,서울 서초구 반포동 708-1 미주빌딩 102호,,1,contract,True,0,"['족발보쌈', '프랜차이즈', '야식']",False,서울,0,최소 주문 금액 18900원 이상,,False,,0,,0.621750162072791,False,5.0,(주)푸디아 / 미스터보쌈5379,0,True,False,240312,False,미스터보쌈-논현역점 보족세트 보족세트大 보쌈도시락 바베큐보쌈도시락 미스터보쌈세트 미스터마늘보쌈세트（4인） 1인분보쌈 바비큐파보쌈（1인） 1인분보쌈 미스터보쌈（1인） 1인분보쌈 미스터마늘보쌈（1인） 단품메뉴 직화불족발 미스터보쌈세트 미스터올스타세트（3인） 바비큐보쌈세트 바비큐마늘보쌈세트（4인） 바비큐보쌈세트 바비큐올스타세트（4인）,37.5101689,5,127.0205182,/media/restaurant_logos/미스터보쌈5379_20141120_Franchise_crop_200x200_Lc8xy5Q.jpg,0.0,18900,미스터보쌈-논현역점,True,0.47564996758544176,0,True,10:00 - 09:59,"['creditcard', 'online']",050712900433,False,True,{},200003.0,True,"['email', 'sms_relay']",0.0,0,0,contract,4,미스터보쌈-논현역점,False,,[],False,10000,,False,False,
5,0,False,0,서울 강남구 역삼동 656-19 1층,,1,contract,True,0,"['피자양식', '1인분주문', '야식', '1인분주문']",False,서울,0,최소 주문 금액 10000원 이상,,False,2016-09-23T14:00:00,10,2016-09-24T01:59:59.999999,1.814397181901175,False,,,0,True,True,7064,False,리츠델리피자 오븐구이메뉴 양념구이한마리반 M사이즈피자 핫앤후레쉬골드M 치킨세트 C세트（순살양념＋순살양념） 치킨메뉴 델리스틱치킨 오븐구이메뉴 양념오븐구이파닭한마리반 XL사이즈피자 핫앤후레쉬골드XL XL사이즈피자 야채피자XL 치킨메뉴 골드스틱 치킨메뉴 골드윙 치킨메뉴 후라이드파닭,37.5071138,6,127.038781,/media/restaurant_logos/피자01_20131128_FoodAD_crop_200x200.jpg,31.4074052315491,10000,리츠델리피자,False,1.4934167728817291,1,True,10:00 - 09:59,"['creditcard', 'online']",050352549886,False,True,{},200048.718615994,True,"['email', 'box_helicom']",3.91703056768559,229,18,contract,5,리츠델리피자(역삼점),False,,['excellent'],False,10000,,False,False,
6,0,False,0,서울 강남구 논현동 212-7 밥통직화구이,,1,contract,True,0,"['야식', '한식']",False,서울,0,최소 주문 금액 12000원 이상,,False,,0,,1.1658998896153687,False,,,0,True,True,818,False,밥통직화구이 밥통안주류 스팸김치찜 밥통볶음밥 소고기볶음밥 밥통안주류 치떡닭갈비 밥통안주류 부추삼겹직화구이 밥통볶음밥 참치볶음밥 밥통볶음밥 낙지볶음밥 밥통찌개＋도시락 베이컨도시락 밥통안주류 닭볶음탕 밥통안주류 돼지김치찜 밥통직화류 닭볶음탕,37.5140246,7,127.0343522,/media/restaurant_logos/제육볶음03_20131128_FoodAD_crop_200x200_12.jpg,30.8612337394025,12000,밥통직화구이,False,1.6012693716530264,0,True,10:00 - 09:59,"['creditcard', 'online']",050712900514,False,True,{},200048.252656741,True,"['email', 'box_helicom']",3.99220272904483,513,18,contract,6,밥통직화구이,False,,['excellent'],False,8000,,False,False,
7,0,False,0,서울 강남구 논현동 182-25 2층,,1,contract,True,0,"['한식', '야식']",False,서울,1000,"배달 요금 1000원, 최소 주문 금액 25000원",,False,,0,,1.032841113443076,False,,,0,True,True,23335,False,"화랑불닭(닭발전문) 닭발 닭한마리 주먹밥 치킨순살주먹밥 탕,떡볶이 홍합탕 탕,떡볶이 해물오뎅탕 탕,떡볶이 해물누룽지탕 탕,떡볶이 해물떡볶이 찜,볶음 오징어볶음 찜,볶음 해물오돌뼈볶음 찜,볶음 야채찜닭 포차안주 치즈계란말이",37.5069029,8,127.0249717,/media/restaurant_logos/화랑불닭닭발전문_20150805_가맹로고이미지약정서_crop_200x200.jpg,23.9342197703871,15000,화랑불닭(닭발전문),False,1.3508005681268687,0,True,10:00 - 09:59,"['creditcard', 'online']",050352564605,False,True,{},200041.225886437,True,"['email', 'box_helicom']",3.89949748743719,398,14,contract,7,화랑불닭,False,,['excellent'],False,8000,,False,False,
8,0,False,0,"서울 강남구 논현동 논현동 204, 지하1층",,1,contract,True,0,"['한식', '야식']",False,서울,0,최소 주문 금액 10000원 이상,,False,,0,,0.9192758935179077,False,,,0,True,True,59491,False,신논현삼계탕 불닭（순살） 치즈불닭中 닭똥집／오돌뼈볶음 오돌뼈볶음大 김치떡닭볶음탕 김치떡닭볶음탕大 닭똥집／오돌뼈볶음 소금구이닭똥집大 닭똥집／오돌뼈볶음 양념닭똥집大 닭발 무뼈닭발大 닭발 무뼈닭발中 닭발 뼈있는숯불닭발大 닭발 뼈있는국물닭발大 불닭（순살） 순살불닭中,37.513583,9,127.031375,/media/restaurant_logos/삼계탕03_20131128_FoodAD_crop_200x200_zZIaMmA.jpg,23.121593990412,10000,신논현삼계탕,False,1.3410085809128987,0,True,10:00 - 09:59,"['creditcard', 'online']",050352561011,False,True,{},200038.07159399,True,"['email', 'box_helicom']",3.59090909090909,66,3,contract,8,신논현삼계탕,False,,['CESCO'],False,8000,,False,False,
9,0,False,0,서울 강남구 논현동 149 1층 102호(논현동),,1,contract,True,0,"['피자양식', '프랜차이즈']",False,서울,0,최소 주문 금액 15000원 이상,,False,,0,,0.8084942419883429,False,29.0,(주)웰빙을만드는사람들 / 뽕뜨락피자,0,True,False,240621,False,뽕뜨락피자-논현점 <사이드메뉴> 미니샐러드 <엑설런트피자（L）> 리치바이트（L） <추가메뉴> 까망베르소스 <클래식피자（L）> 골든고구마（L） <클래식피자（M）> 골든불고기（M） <클래식피자（M）> 골든슈퍼콤비（M） <추가메뉴> 수제피클 <세트메뉴> 웰빙세트（골든리치킨바베큐L＋모짜렐라오븐파스타＋콜라1.25L） <사이드메뉴> 씨푸드토마토파스타 <신메뉴（L）> 토핑들의수다（L）,37.5103001,10,127.0274113,/media/restaurant_logos/뽕뜨락피자_20160125_Franchise이미지약정서_crop_200x200_LF3OnTC.jpg,0.0,15000,뽕뜨락피자-논현점,True,0.43830115160233146,0,True,11:00 - 22:30,"['creditcard', 'online']",050712900623,False,True,{},200003.0,True,"['email', 'sms_relay']",0.0,0,0,contract,9,뽕뜨락피자-논현점,False,,[],False,10000,,False,False,
